260;seba;4;1
261;sabta;5;1
262;ragma;5;1
263;sabtecha;8;1
264;ragmas;6;1
265;reichs;6;1
266;erech;5;1
267;akkad;5;1
268;kalne;5;1
269;assur;5;1
270;rehobotir;9;1
271;resen;5;1
272;luditer;7;1
273;anamiter;8;1
274;lehabiter;9;1
275;naftuhiter;10;1
276;patrositer;10;1
277;kasluhiter;10;1
278;kaftoriter;10;1
279;het;3;1
280;hiwiter;7;1
281;arkiter;7;1
282;siniter;7;1
283;zemariter;9;1
284;hamatiter;9;1
285;nachher;7;1
286;grenzen;7;1
287;gaza;4;1
288;lescha;6;1
289;ebers;5;1
290;älterem;7;1
291;aram;4;1
292;arams;5;1
293;hul;3;1
294;geter;5;1
295;masch;5;1
296;zerteilt;8;1
297;almodad;7;1
298;schelef;7;1
299;hazarmawet;10;1
300;jerach;6;1
301;hadoram;7;1
302;usal;4;1
303;dikla;5;1
304;obal;4;1
305;abimaël;7;1
306;ofir;4;1
307;joktans;7;1
308;wohnsitze;9;1
309;mescha;6;1
310;sefar;5;1
311;turmbau;7;1
312;zunge;5;1
313;streichen;9;1
314;brennen;7;1
315;erdharz;7;1
316;mörtel;6;1
317;menschenkinder;14;1
318;bauten;6;1
319;tuns;4;1
320;verwehrt;8;1
321;vorgenommen;11;1
322;herniederfahren;15;1
323;verwirren;9;1
324;verstehe;8;1
325;zerstreute;10;1
326;verwirrt;8;1
327;jiska;5;1
328;zweihundertundfünf;18;1
329;berufung;8;1
330;zeigen;6;1
331;fünfundsiebzig;14;1
332;durchzog;8;1
333;more;4;1
334;brach;5;1
335;aufhielte;9;1
336;schönes;7;1
337;wohlgehe;8;1
338;plagte;6;1
339;sagtest;7;1
340;bestellte;9;1
341;seinetwillen;12;1
342;geleiteten;10;1
343;trennen;7;1
344;früher;6;1
345;errichtet;9;1
346;ertragen;8;1
347;trenne;6;1
348;besah;5;1
349;wasserreich;11;1
350;erwählte;8;1
351;trennte;7;1
352;unteren;7;1
353;sündigten;9;1
354;getrennt;8;1
355;wohnst;6;1
356;durchzieh;9;1
357;arjochs;7;1
358;kedor;5;1
359;laomers;7;1
360;tidals;6;1
361;bera;4;1
362;birscha;7;1
363;schinab;7;1
364;schemeber;9;1
365;salzmeer;8;1
366;abgefallen;10;1
367;vierzehnten;11;1
368;aschterotkarnajim;17;1
369;susiter;7;1
370;emiter;6;1
371;kirjatajim;10;1
372;elparan;7;1
373;stößt;5;1
374;enmischpat;10;1
375;amalekiter;10;1
376;hazezontamar;12;1
377;rüsteten;8;1
378;tidal;5;1
379;arjoch;6;1
380;übrigblieb;10;1
381;vorräte;7;1
382;brudersohn;10;1
383;entronnen;9;1
384;mamres;6;1
385;amoriters;9;1
386;wappnete;8;1
387;dreihundertundachtzehn;22;1
388;schar;5;1
389;hoba;4;1
390;nördlich;8;1
391;zurückkam;9;1
392;sieg;4;1
393;königstal;9;1
394;melchisedek;11;1
395;salem;5;1
396;höchste;7;1
397;schuhriemen;11;1
398;sagest;6;1
399;habest;6;1
400;verheißt;8;1
401;gewährt;7;1
402;schild;6;1
403;elïser;6;1
404;gen;3;1
405;zähle;5;1
406;zahlreich;9;1
407;rechnete;8;1
408;gerechtigkeit;13;1
409;woran;5;1
410;kuh;3;1
411;ziege;5;1
412;dreijährigen;12;1
413;turteltaube;11;1
414;raubvögel;9;1
415;stücke;6;1
416;scheuchte;9;1
417;tiefer;6;1
418;überfiel;8;1
419;zwingen;7;1
420;ausziehen;9;1
421;gutem;5;1
422;menschenaltern;14;1
423;aamoriter;9;1
424;rauchender;10;1
425;feuerflamme;11;1
426;stücken;7;1
427;keniter;7;1
428;kenasiter;9;1
429;kadmoniter;10;1
430;verschlossen;12;1
431;achtete;7;1
432;unrecht;7;1
433;geschieht;9;1
434;geachtet;8;1
435;demütigen;9;1
436;wasserquelle;12;1
437;demütige;8;1
438;gezählt;7;1
439;wilder;6;1
440;hergesehen;10;1
441;bered;5;1
442;sechsundachtzig;15;1
443;neue;4;1
444;beschneidung;12;1
445;ewigem;6;1
446;aalles;6;1
447;knäblein;8;1
448;wenns;5;1
449;irgendwelchen;13;1
450;männlicher;10;1
451;ausgerottet;11;1
452;gebrochen;9;1
453;neunzig;7;1
454;möchte;6;1
455;nächsten;8;1
456;dreizehn;8;1
457;während;7;1
458;heißesten;9;1
459;aufhob;6;1
460;bissen;6;1
461;labet;5;1
462;weiterziehen;12;1
463;vorübergekommen;15;1
464;maß;3;1
465;feinstes;8;1
466;mehl;4;1
467;knete;5;1
468;backe;5;1
469;zartes;6;1
470;kalb;4;1
471;gabs;4;1
472;bereitete;9;1
473;butter;6;1
474;kalbe;5;1
475;zubereitet;10;1
476;drinnen;7;1
477;pflegen;7;1
478;lacht;5;1
479;meinst;6;1
480;unmöglich;9;1
481;übers;5;1
482;leugnete;8;1
483;fürbitte;8;1
484;geleiten;8;1
485;mächtiges;9;1
486;auserkoren;10;1
487;befehle;7;1
488;verheißen;9;1
489;hinabfahren;11;1
490;tötest;6;1
491;gottlose;8;1
492;asche;5;1
493;weniger;7;1
494;fünfundvierzig;14;1
495;aach;4;1
496;untergang;9;1
497;errettung;9;1
498;herren;6;1
499;kehrt;5;1
500;knechts;7;1
501;brecht;6;1
502;frühmorgens;11;1
503;straße;6;1
504;freien;6;1
505;kehrten;7;1
506;backte;6;1
507;ungesäuerte;11;1
508;umgaben;7;1
509;jung;4;1
510;enden;5;1
511;herausgeben;11;1
512;schatten;8;1
513;dachs;5;1
514;regieren;8;1
515;übler;5;1
516;jene;4;1
517;drangen;7;1
518;hinzuliefen;11;1
519;griffen;7;1
520;blindheit;9;1
521;aufgaben;8;1
522;schwiegersohn;13;1
523;angehört;8;1
524;heiraten;8;1
525;lächerlich;10;1
526;aufging;7;1
527;drängten;8;1
528;ergriffen;9;1
529;verschonen;10;1
530;los;3;1
531;hinausgebracht;14;1
532;aauf;4;1
533;erhieltest;10;1
534;unheil;6;1
535;ereilen;7;1
536;stürbe;6;1
537;fliehen;7;1
538;zerstöre;8;1
539;hineinkommst;12;1
540;aufgegangen;11;1
541;schwefel;8;1
542;einwohner;9;1
543;salzsäule;9;1
544;gestanden;9;1
545;schaute;7;1
546;geleitete;9;1
547;zerstörte;9;1
548;gestern;7;1
549;hineingehst;11;1
550;legst;5;1
551;moab;4;1
552;benammi;7;1
553;aammoniter;10;1
554;ehefrau;7;1
555;berührt;7;1
556;gerechtes;9;1
557;unschuldigen;12;1
558;behütet;7;1
559;sündigtest;10;1
560;zugelassen;10;1
561;berührtest;10;1
562;prophet;7;1
563;bitten;6;1
564;wiedergibst;11;1
565;gehandelt;9;1
566;gottesfurcht;12;1
567;wahrhaftig;10;1
568;wandern;7;1
569;wohlgefällt;11;1
570;decke;5;1
571;zugute;6;1
572;heilte;6;1
573;mutterschoß;11;1
574;achten;6;1
575;lachen;6;1
576;zugerichtet;11;1
577;stille;6;1
578;austreibung;11;1
579;hagars;6;1
580;ägypterin;9;1
581;erben;5;1
582;mißfallen;9;1
583;benannt;7;1
584;irrte;5;1
585;strauch;7;1
586;bogenschuß;10;1
587;steh;4;1
588;guter;5;1
589;schütze;7;1
590;paran;5;1
591;enkeln;6;1
592;untreue;7;1
593;wollest;7;1
594;schwören;8;1
595;wasserbrunnens;14;1
596;gewußt;6;1
597;gestellt;8;1
598;zeugnis;7;1
599;tamariskenbaum;14;1
600;versuchung;10;1
601;bestätigung;11;1
602;versuchte;9;1
603;liebhast;8;1
604;morija;6;1
605;opfere;6;1
606;gürtete;7;1
607;spaltete;8;1
608;angebetet;9;1
609;ersehen;7;1
610;reckte;6;1
611;schlachtete;11;1
612;fürchtest;9;1
613;hecke;5;1
614;hörnern;7;1
615;abrahm;6;1
616;bus;3;1
617;kemuël;6;1
618;kesed;5;1
619;haso;4;1
620;pildasch;8;1
621;jidlaf;6;1
622;rëuma;5;1
623;tebach;6;1
624;gaham;5;1
625;tahasch;7;1
626;maacha;6;1
627;erwirbt;7;1
628;hundertsiebenundzwanzig;23;1
629;beklagte;8;1
630;beisasse;8;1
631;vornehmsten;11;1
632;gräber;6;1
633;wehren;6;1
634;bittet;6;1
635;schenke;7;1
636;übergebe;8;1
637;volks;5;1
638;bitte;5;1
639;wog;3;1
640;summe;5;1
641;kauf;4;1
642;gang;4;1
643;allenthalben;12;1
644;vorstand;8;1
645;ziehest;7;1
646;jenes;5;1
647;ausgezogen;10;1
648;davor;5;1
649;bringest;8;1
650;heimat;6;1
651;herauszugehen;13;1
652;gelingen;8;1
653;herauskommen;12;1
654;neige;5;1
655;jungfrau;8;1
656;kruge;5;1
657;tränke;6;1
658;schöpfte;8;1
659;betrachtete;11;1
660;still;5;1
661;erkannt;7;1
662;goldenen;8;1
663;geradewegs;10;1
664;gesegneter;10;1
665;stehst;6;1
666;bereitet;8;1
667;zäumte;6;1
668;sache;5;1
669;vorgebracht;11;1
670;herauskommt;11;1
671;schöpft;7;1
672;stirn;5;1
673;lobte;5;1
674;freundschaft;12;1
675;beweisen;8;1
676;silberne;8;1
677;kleinode;8;1
678;kostbare;8;1
679;einige;6;1
680;fragen;6;1
681;segneten;8;1
682;wachse;6;1
683;vieltausendmal;14;1
684;besitze;7;1
685;mägden;6;1
686;südlande;8;1
687;beten;5;1
688;daherkamen;10;1
689;kamel;5;1
690;entgegenkommt;13;1
691;ausgerichtet;12;1
692;getröstet;9;1
693;simran;6;1
694;medan;5;1
695;midian;6;1
696;jischbak;8;1
697;schuach;7;1
698;dedans;6;1
699;aschuriter;10;1
700;letuschiter;11;1
701;lëummiter;9;1
702;midians;7;1
703;efa;3;1
704;efer;4;1
705;abida;5;1
706;eldaa;5;1
707;nebenfrauen;11;1
708;lebzeiten;9;1
709;morgenland;10;1
710;erreicht;8;1
711;hundertundfünfundsiebzig;24;1
712;ismales;7;1
713;nebajot;7;1
714;kedar;5;1
715;adbeel;6;1
716;mibsam;6;1
717;duma;4;1
718;massa;5;1
719;tema;4;1
720;jetur;5;1
721;nafisch;7;1
722;kedma;5;1
723;gehöften;8;1
724;hundertundsiebenunddreißig;26;1
725;bat;3;1
726;erbitten;8;1
727;leib;4;1
728;befragen;8;1
729;zweierlei;9;1
730;überlegen;9;1
731;herauskam;9;1
732;rötlich;7;1
733;fell;4;1
734;sechzig;7;1
735;streifte;8;1
736;gesitteter;10;1
737;erstgeburtsrecht;16;1
738;kochte;6;1
739;rote;4;1
740;verkaufe;8;1
741;linsengericht;13;1
742;verachtete;10;1
743;erneute;7;1
744;gehalten;8;1
745;gebote;6;1
746;weisungen;9;1
747;fragten;7;1
748;durchs;6;1
749;scherzte;8;1
750;leicht;6;1
751;jemand;6;1
752;antastet;8;1
753;philistern;10;1
754;säte;4;1
755;erntete;7;1
756;hundertfältig;13;1
757;reicher;7;1
758;kleinem;7;1
759;beneideten;10;1
760;gefüllt;7;1
761;mächtig;7;1
762;aufgraben;9;1
763;denselben;9;1
764;wassers;7;1
765;gezankt;7;1
766;grub;4;1
767;ahusat;6;1
768;hasset;6;1
769;sehenden;8;1
770;angetastet;10;1
771;gesegnete;9;1
772;selben;6;1
773;schwur;6;1
774;schwurbrunnen;13;1
775;jehudit;7;1
776;beeris;6;1
777;gewinnt;7;1
778;erstgeburtssegen;16;1
779;gerät;5;1
780;köcher;6;1
781;bring;5;1
782;heimbrächte;11;1
783;hineintragen;12;1
784;betasten;8;1
785;dastehen;8;1
786;betrügen;8;1
787;brächte;7;1
788;felle;5;1
789;bald;4;1
790;bescherte;9;1
791;tritt;5;1
792;betaste;7;1
793;bins;4;1
794;küsse;5;1
795;kaum;4;1
796;hinausgegangen;14;1
797;jagd;4;1
798;entsetzte;9;1
799;kamst;5;1
800;betrübt;7;1
801;vatera;6;1
802;weggenommen;11;1
803;überlistet;10;1
804;vorbehalten;11;1
805;hinterlistige;13;1
806;versehen;8;1
807;schwerte;8;1
808;joch;4;1
809;segens;6;1
810;droht;5;1
811;flieh;5;1
812;wendet;6;1
813;vergißt;7;1
814;schicken;8;1
815;verdrießt;9;1
816;lebena;6;1
817;besitzest;9;1
818;entlassen;9;1
819;bereits;7;1
820;mahalat;7;1
821;schaut;6;1
822;himmelsleiter;13;1
823;leiter;6;1
824;rührte;6;1
825;stiegen;7;1
826;liegst;6;1
827;hinziehst;9;1
828;herbringen;10;1
829;tue;3;1
830;aufwachte;9;1
831;heilig;6;1
832;pforte;6;1
833;vorher;6;1
834;anzuziehen;10;1
835;gotteshaus;10;1
836;gibst;5;1
837;dient;5;1
838;brunnenloch;11;1
839;kennt;5;1
840;kennen;6;1
841;hoher;5;1
842;einzutreiben;12;1
843;tränkt;6;1
844;weidet;6;1
845;zusammengebracht;16;1
846;wälzte;6;1
847;begeben;7;1
848;gebein;6;1
849;zwar;4;1
850;verwandter;10;1
851;glanz;5;1
852;dagegen;7;1
853;besser;6;1
854;wärens;6;1
855;einzelne;8;1
856;braut;5;1
857;hochzeitsmahl;13;1
858;betrogen;8;1
859;sitte;5;1
860;weggebe;7;1
861;halte;5;1
862;dienst;6;1
863;leisten;7;1
864;liebhaben;9;1
865;zugetan;7;1
866;viertenmal;10;1
867;danken;6;1
868;beneidete;9;1
869;leibes;6;1
870;gebäre;6;1
871;gesiegt;7;1
872;selig;5;1
873;weizenernte;11;1
874;sach;4;1
875;worterklärungen;15;1
876;erkauft;7;1
877;gelohnt;7;1
878;sechsten;8;1
879;beschenkt;9;1
880;schmach;7;1
881;wolle;5;1
882;spüre;5;1
883;bestimme;8;1
884;hattest;7;1
885;herkam;6;1
886;schritte;8;1
887;sorgen;6;1
888;aussondern;10;1
889;schwarzen;9;1
890;lohnes;6;1
891;diebstahl;9;1
892;sonderte;8;1
893;weißes;6;1
894;tats;4;1
895;tagereisen;10;1
896;weidete;7;1
897;übrigen;7;1
898;frische;7;1
899;pappeln;7;1
900;mandelbäumen;12;1
901;platanen;8;1
902;schälte;7;1
903;weiße;5;1
904;streifen;8;1
905;bloß;4;1
906;geschält;8;1
907;tränkrinnen;11;1
908;kämen;5;1
909;gefleckte;9;1
910;eigene;6;1
911;rinnen;6;1
912;schwächlich;11;1
913;schwächlichen;13;1
914;zuteil;6;1
915;vertrag;7;1
916;ajakob;6;1
917;zuwege;6;1
918;kräften;7;1
919;gestattet;9;1
920;täte;4;1
921;entwunden;9;1
922;sprangen;8;1
923;springen;8;1
924;antut;5;1
925;gesalbt;7;1
926;gegolten;8;1
927;kaufpreis;9;1
928;entzogen;8;1
929;stahl;5;1
930;täuschte;8;1
931;ansagte;7;1
932;entführt;8;1
